,FL1-A,FL3-A
345,3430.925,2390.196
346,3560.7925,2156.9307
347,3977.5762,3563.6682
348,3580.668,3225.5146
349,3466.6177,779.83136
350,6116.8184,4399.791
351,5443.134,3910.318
352,5931.5,4356.9106
353,3763.997,2507.7034
354,3365.0781,918.9019
355,6012.8677,4422.223
356,3652.2197,1865.0446
357,3729.1875,1874.1725
358,3441.314,2071.2083
359,3812.95,2164.4612
360,3850.167,2965.2314
361,6282.582,4540.135
362,5559.6797,3382.1353
363,3658.4705,3550.6292
364,3847.3792,2164.4612
365,3353.4707,2587.6655
366,3469.9219,3141.4438
367,6116.7266,4055.4277
368,3914.526,1600.875
369,4543.2104,3451.5479
370,3700.6414,1361.5568
371,3566.5315,3000.71
372,4852.4375,3194.5005
373,5097.679,3517.6506
374,3875.6208,2855.8096
375,3713.3552,3103.8347
376,3591.7659,3072.902
377,4146.6226,3466.6177
378,6141.2305,3999.2397
379,3443.0303,2186.7961
380,3781.7598,2907.0686
381,3975.2925,3898.3865
382,3347.5938,1246.3866
383,3723.5771,1211.1321
384,3514.571,2716.468
385,4264.46,282.36978
386,3335.6902,2848.2185
387,3682.8977,2968.5237
388,5972.338,4130.1274
389,4210.6807,2978.319
390,3434.4055,3106.5847
391,3807.0293,3241.6802
392,5580.2354,4228.277
393,3740.2664,3321.5432
394,3389.584,1005.85626
395,3658.4705,3523.7678
396,5260.611,4039.0889
397,3746.8245,3128.2288
398,3738.0657,2907.0686
399,5534.448,4636.4043
400,4797.2656,3954.361
401,3652.2197,2479.5505
402,3402.4297,3122.8762
403,3546.226,2934.9675
404,4066.0903,4045.948
405,3617.406,1417.7102
406,3675.664,3223.1755
407,5110.0396,2896.3523
408,4553.8564,3351.517
409,6233.648,4505.244
410,5246.6567,2479.5505
411,5206.693,3040.654
412,3876.5115,3141.4438
413,3261.9448,2941.7932
414,5879.6133,4811.286
415,5727.4175,3569.3828
416,6405.1797,4636.1406
417,3281.6514,3225.5146
418,3589.0085,3040.654
419,5056.2383,2899.9402
420,3722.4492,3101.0747
421,3720.1875,3409.6646
422,3705.2932,3120.1855
423,3505.2476,3025.5344
424,3630.514,1837.3773
425,3349.5583,2095.1184
426,3668.3503,1809.2853
427,4313.962,3031.618
428,5493.3184,3835.1572
429,5429.426,4171.139
430,3962.972,2955.2712
431,5445.922,3174.7375
432,3719.0537,1439.8914
433,3872.9414,1526.9543
434,3461.6313,2201.4744
435,3642.0938,3378.3809
436,3631.8108,1187.4579
437,4182.7725,3563.6682
438,3674.451,2518.748
439,3309.1868,2637.4958
440,3700.6414,2607.9155
441,3327.641,3106.5847
442,3794.012,2764.072
443,3780.7283,1175.5704
444,4175.596,3156.997
445,3359.2986,1927.9503
446,4061.4478,3755.4673
447,5163.0166,3146.6646
448,3605.3835,1372.8663
449,3425.6711,2874.487
450,4329.3345,2215.9849
451,5041.6353,3716.7803
452,3395.1184,3241.6802
453,3413.254,3184.6858
454,3831.3494,3339.6807
455,3866.6453,2251.5398
456,3791.986,1901.2733
457,3685.2915,295.71417
458,3852.0188,2759.8503
459,3366.9941,3257.4907
460,5107.49,3898.3865
461,5591.2686,3489.4175
462,3361.2305,2987.9937
463,3420.3767,3138.8196
464,3638.2563,2299.629
465,3532.841,3087.1199
466,3755.4673,2801.163
467,3916.2014,2899.9402
468,5688.3135,3064.2417
