,FL1-A,FL3-A
515,4734.3613,202.0895
516,4898.066,2432.8372
517,3264.1614,2632.6306
518,3887.9795,2971.8025
519,4083.6848,5036.324
520,5897.2456,4110.7295
521,5765.5327,4160.9927
522,5187.5977,3892.3362
523,3290.2383,1837.3773
524,4921.6445,3634.3965
525,3610.7537,148.37985
526,3385.8696,1590.4474
527,5644.599,3829.4373
528,5120.726,3528.3198
529,4168.337,2931.5327
530,3697.1309,3862.11
531,6213.7637,4243.8994
532,4978.2334,931.402
533,3288.1013,3725.8271
534,5189.6196,3839.8853
535,3751.1602,27.045761
536,5551.561,5272.2144
537,4898.409,2556.4622
538,5096.937,1018.1708
539,5148.071,3711.0618
540,4770.7637,5181.0605
541,3970.7002,3803.0518
542,3498.9597,2038.6964
543,5154.521,3469.9219
544,6459.5044,4792.7915
545,5295.7563,1600.875
546,3769.272,242.27429
547,6316.0166,4793.1997
548,6094.822,4600.583
549,4216.428,4179.4707
550,5157.889,8.4703295e-22
551,3895.8005,2855.8096
552,3474.8484,3201.776
553,3994.8179,4561.052
554,5034.2686,2707.5288
555,3849.239,3259.7212
556,5281.322,8.4703295e-22
557,5029.861,5694.7944
558,5126.884,3713.3552
559,5131.5786,3589.0085
560,4382.1177,4436.251
561,3264.1614,2617.8801
562,3296.6108,2955.2712
563,3889.7258,4376.113
564,3674.451,4724.17
565,3969.9316,8.4703295e-22
566,3638.2563,2450.601
567,3425.6711,1187.4579
568,3991.8528,4891.8525
569,6001.765,4231.3315
570,3391.4336,2948.5608
571,5283.691,2716.468
572,3602.6821,4007.2676
573,3599.97,2582.5347
574,7079.8306,5050.3857
575,4064.1047,4363.9253
576,3552.0906,1874.1725
577,5524.395,3359.2986
578,5271.9365,5907.977
579,4723.9414,5040.55
580,5090.466,2948.5608
581,4649.9604,968.74835
582,5272.307,3211.3647
583,5046.901,4045.2654
584,3969.9316,3182.2112
585,5100.27,3034.6418
586,3940.015,4337.523
587,4127.735,3225.5146
588,3489.4175,4285.7603
589,4063.4417,3852.0188
590,3341.6672,1761.5231
591,3541.794,3300.8276
592,3601.3274,3288.1013
593,5119.2964,8.4703295e-22
594,5415.9116,3915.3643
595,3580.668,2921.1392
596,5494.7314,4102.675
597,3323.5815,2473.8254
598,5552.7275,3255.2532
599,5742.7495,3199.359
600,3413.254,2941.7932
601,3837.0525,4172.814
602,5088.084,2780.7556
603,3708.7605,3355.4187
604,3565.1013,2468.0679
605,4894.2764,3876.5115
606,5265.129,3567.9587
607,4903.5366,5435.8237
608,3482.9807,3241.6802
609,6440.6377,4495.706
610,5156.9927,3309.1868
611,5417.9546,3883.593
612,3305.0195,2592.7686
613,5209.0635,3385.8696
614,3509.9253,4366.7905
615,5340.01,3767.1672
616,3323.5815,3835.1572
617,3522.2437,2326.2512
618,5998.352,3547.697
619,3958.2896,1042.7155
620,5104.5635,3829.4373
621,3843.643,2805.1865
622,5532.5835,3544.752
623,5154.634,3709.912
624,3927.8086,2450.601
625,3627.913,3159.5576
626,4723.9414,4638.247
627,3268.5742,2456.456
628,4988.087,4097.6665
629,3333.6865,2592.7686
630,5061.6416,5982.6787
631,3437.8684,1361.5568
632,6138.4146,6938.765
633,3277.319,1406.559
634,4960.208,3075.767
635,5132.28,6231.6113
636,5356.2783,3971.4678
637,3937.5923,3075.767
638,4762.24,2582.5347
639,5761.1353,4130.1274
640,3623.9924,1163.65
641,5129.4707,3560.7925
642,4990.0093,3725.8271
643,3573.637,3708.7605
644,3430.925,3389.584
645,3366.9941,1846.647
646,3566.5315,2208.7505
647,3704.1333,2958.6052
648,3294.493,3194.5005
649,5037.6904,3255.2532
650,3654.727,2747.06
651,3800.0525,3019.4026
652,3994.8179,4787.4614
653,3430.925,4200.0938
654,3437.8684,3425.6711
655,4961.137,2038.6964
656,4980.187,3706.451
657,6022.033,4221.0913
658,3478.113,2934.9675
659,7273.5396,5531.015
660,6113.61,4497.3613
661,3937.5923,3891.4673
662,5180.0903,3013.2217
663,5268.682,2518.748
664,3498.9597,3625.3018
665,3650.9624,1494.6222
666,3755.4673,4331.5
667,3648.4407,4896.002
668,5061.2476,2747.06
669,3400.6091,2286.0864
670,3423.911,2637.4958
671,3333.6865,2965.2314
672,3730.304,468.132
673,3876.5115,3943.231
674,3519.185,3169.7122
675,3650.9624,1384.1367
676,5204.6235,2793.0586
677,3473.2102,3164.6523
678,4297.2866,2801.163
679,4028.6582,4621.4624
680,3610.7537,868.65533
681,3837.9983,2729.7095
682,5323.121,2965.2314
683,3672.0173,2479.5505
684,5360.458,4056.7705
685,3557.9043,8.4703295e-22
686,4909.464,1372.8663
687,3495.794,2545.8337
688,5144.19,4301.838
689,3391.4336,4285.7603
690,4754.0312,3422.146
691,3807.0293,4540.751
692,3562.2317,4653.0464
693,3400.6091,3174.7373
694,6337.4487,4357.74
695,3606.7302,1846.647
696,3750.079,2055.043
697,3575.049,3106.5847
698,5018.276,3812.95
699,4234.371,3625.3018
700,3343.6484,4378.9224
701,6365.5835,4451.75
702,3922.0312,4665.4893
703,3777.6238,3151.8489
704,3353.4707,1590.4474
705,4122.319,4424.831
706,3441.314,2809.1907
707,3693.6013,4116.246
708,3587.6257,3339.6807
709,3605.3835,3838.9424
710,3275.1428,3040.654
711,4824.9917,1988.5569
712,3434.4055,3565.1013
713,6378.27,4436.251
714,6382.3125,4673.481
715,4044.582,2013.8339
716,3261.9448,3146.6646
717,5498.185,3852.0188
718,6245.872,4521.349
719,3487.814,1980.0387
720,6128.0723,4167.213
721,3975.2925,4578.099
722,3890.5972,4732.1113
723,3631.8108,4151.257
724,4136.659,3187.1519
725,5939.1006,4199.025
726,5611.7974,6585.393
727,5841.3145,3732.531
728,4674.72,3828.4788
729,3966.0745,4529.56
730,3821.731,4037.0164
731,5184.606,3420.3767
732,3469.9219,3579.2676
733,3505.2476,4043.8982
734,4358.982,4782.0845
735,3952.783,3130.8906
736,4884.522,3598.6096
737,5187.3843,3052.5388
738,3775.546,3705.2932
739,3374.606,2670.8516
740,3931.9033,4708.205
741,3795.0227,3481.362
742,3872.0457,2899.9402
743,3667.1233,3243.9602
744,4100.802,4176.7056
745,4256.707,3444.7422
746,4169.4595,4825.3784
747,5310.725,2551.1624
748,5296.558,6155.674
749,6619.286,4849.0967
750,3573.637,2729.7095
751,3930.2686,2734.0793
752,3614.7532,1846.647
753,3647.176,3022.4746
754,3385.8696,3601.3274
755,5205.038,3398.7837
756,5277.4746,2729.7095
757,3290.2383,3413.254
758,5218.354,3355.4187
759,3731.4185,1054.9447
760,5486.2046,6163.6772
761,3365.0781,3103.8347
762,5293.434,3378.3809
763,3538.8228,4361.4585
764,3778.6604,2408.6785
765,3627.913,3617.406
766,6386.635,4219.023
767,4990.304,3149.2612
768,5413.495,3648.4407
769,5297.892,3072.902
770,4573.1514,3985.8806
771,3855.7068,4702.316
772,4115.6353,5015.876
773,4957.722,956.32556
774,4201.1606,3355.4187
775,3355.4187,3241.6802
776,5137.2803,3702.9714
777,4710.311,8.4703295e-22
778,4600.024,1761.5231
779,4908.1143,27.045761
780,4497.031,3522.2437
781,3534.3416,4163.2617
782,3722.4492,255.64964
783,6331.782,4598.9043
784,4088.8052,4294.5396
