,FL1-A,FL3-A
85,6632.8867,4940.6714
86,5849.3853,4313.072
87,3775.546,3606.7302
88,5039.87,3869.351
89,3931.0864,4291.781
90,6652.9204,4764.5957
91,6228.5054,4678.915
92,4170.0195,3177.237
93,5002.7188,3327.641
94,5029.031,4982.732
95,5601.62,3765.0554
96,4285.7603,3929.4495
97,4073.3179,2365.0562
98,5858.719,4049.35
99,4952.8765,2396.3918
100,6170.427,4420.7275
101,5668.923,4583.008
102,5023.188,3378.3809
103,5114.024,3513.026
104,6039.0986,4289.9346
105,6525.005,5138.322
106,6620.6035,4614.3994
107,6387.0874,4501.9717
108,4063.4417,2720.9038
109,4996.47,3357.3613
110,3827.5193,3559.3499
111,5034.68,3418.603
112,6393.357,5028.892
113,5218.05,3917.8726
114,4543.5176,3043.6426
115,6279.572,4441.702
116,4947.676,3089.9314
117,6111.2153,4202.2256
118,5197.535,0.0
119,5466.365,3925.3389
120,6639.3096,4615.7637
121,5601.8354,3584.8513
122,5963.3516,4326.2905
123,6347.2856,4355.2485
124,4185.5107,3327.641
125,6187.394,4617.3975
126,4268.779,2772.4543
127,3841.7668,2518.748
128,4570.809,2383.9648
129,6402.299,4346.449
130,5795.916,4343.064
131,5471.1865,3277.319
132,4073.3179,2201.4744
133,5336.686,3647.176
134,4870.67,4600.583
135,5163.4604,3458.2866
136,4320.597,3327.641
137,4423.715,4018.7656
138,5557.8335,4121.7144
139,6093.8965,4257.6816
140,4300.4756,3498.9597
141,5689.8013,1234.6699
142,5245.786,3829.4373
143,4403.651,3449.8528
144,4041.1543,322.37048
145,4413.1963,3034.6418
146,4485.3447,3043.6426
147,5213.1646,4139.018
148,4395.5176,2383.9648
149,4870.8496,2693.9497
150,6874.8276,4923.6235
151,4027.2544,3317.4482
152,5040.6855,2832.8252
153,5188.6626,2921.1392
154,7555.2505,5585.667
155,5277.5664,1115.6461
156,4471.712,3688.8657
157,6468.7075,4864.3506
158,5986.096,4119.2896
159,6025.049,4874.966
160,4307.2554,3552.0906
161,6265.9893,3978.3357
162,5192.7983,2456.456
163,3911.1619,3374.606
164,4026.5515,3609.4153
165,4282.4946,2156.9307
166,4625.769,3389.584
167,6345.647,4553.2534
168,5291.282,3448.1536
169,4056.0996,4214.8657
170,5654.476,4720.7344
171,5322.695,3739.167
172,4864.3506,3835.1572
173,5347.9126,2592.7686
174,5850.738,4121.7144
175,4328.9004,4156.4297
176,4408.633,3309.1868
177,5881.238,4370.049
178,4356.9106,2707.5288
179,4962.6836,3525.2886
180,4810.692,3285.9578
181,5556.04,4121.7144
182,4032.851,3559.3499
183,6584.6265,4448.8955
184,6161.0283,4219.541
185,6379.97,4623.8887
186,6237.831,4553.8564
187,5941.246,4409.777
188,5834.8887,4717.049
189,6315.458,4365.155
190,5662.0586,4259.6255
191,5466.7686,2712.0098
192,4164.958,2889.129
193,4144.2925,2693.9497
194,5260.233,3563.6682
195,4228.277,3890.5972
196,5395.6987,3730.304
197,6066.1514,4402.4956
198,4288.083,3010.1125
199,4944.8203,3954.361
200,5986.522,3673.235
201,4349.3965,3006.991
202,4119.897,1327.397
203,5076.545,3712.2095
204,4146.6226,2958.6052
205,6374.2446,4681.8594
206,4469.641,2102.9993
207,4859.247,3654.727
208,6211.6587,4494.047
209,4351.074,3006.991
210,5162.6836,3523.7678
211,4567.8687,4195.808
212,5406.558,3669.575
213,4532.377,2490.9058
214,3949.615,1936.7487
215,5870.187,4303.649
216,6325.3184,4745.0483
217,5070.3687,3577.8645
218,4014.4783,2286.0864
219,5015.7344,3225.5146
220,6765.8867,4783.1226
221,6194.488,4093.884
222,5199.733,3106.5847
223,3854.7869,0.0
224,5064.1294,3259.7212
225,6547.9927,4860.71
226,3992.5955,0.0
227,3913.6865,3309.1868
228,5311.5073,3618.7285
229,3994.078,3380.2605
230,4526.415,3315.392
231,5579.2324,4250.8286
232,6345.4907,4750.9785
233,4147.784,3072.902
234,4430.0146,3614.7532
235,4713.573,881.25323
236,5341.2515,3816.8674
237,5942.6514,3958.2896
238,4269.7344,3194.5005
239,4749.447,4682.3486
240,4075.2747,3225.5146
